timestamp,fsr_left,fsr_right
,831,838
11114,831,838
11119,830,837
11124,830,837
11129,830,837
11134,830,837
111337
11099,829,836
11104,830,837
11109,831,838
11114,831,838
11119,830,837
11124,830,837
11129,830,837
11134,830,837
1113
1999,835,847
2004,660,599
2009,655,598
2014,806,738
2019,651,594
2024,808,738
2029,646,593
2034,807,737
2039,653,602
2044,807,737
2049,807,737
2054,661,611
2059,813,738
2064,665,620
2069,840,738
2074,782,614
2079,978,733
2084,803,602
2089,888,673
2094,916,674
2099,774,602
2104,972,731
2109,780,592
2114,986,730
2119,800,600
2124,991,726
2129,804,596
2134,797,594
2139,994,726
2144,796,591
2149,990,710
2154,795,577
2159,986,708
2164,791,589
2169,974,707
2174,783,584
2179,782,584
2184,970,653
2189,775,551
2194,959,622
2199,784,553
2204,936,608
2209,795,583
2214,922,587
2219,918,582
2224,808,668
2229,888,545
2234,796,571
2239,870,478
2244,988,546
2249,861,487
2254,989,578
2259,855,531
2264,852,554
2269,980,645
2274,838,544
2279,977,607
2284,819,508
2289,973,592
2294,829,531
2299,984,627
2304,989,727
2309,832,651
2314,983,776
2319,816,626
2324,975,713
2329,817,635
2334,972,760
2339,807,647
2344,972,767
2349,974,764
2354,805,635
2359,973,753
2364,803,636
2369,953,749
2374,779,625
2379,949,752
2384,786,623
2390,952,731
2395,782,628
2400,951,770
2405,790,655
2410,944,765
2415,798,668
2420,927,775
2425,791,661
2430,924,755
2435,928,746
2440,802,664
2445,790,670
2450,745,660
2455,876,698
2460,747,632
2465,851,638
2470,746,599
2475,736,641
2480,829,635
2485,726,756
2490,748,650
2495,685,703
2500,767,622
2505,843,665
2510,754,589
2515,819,683
2520,779,712
2525,643,601
2530,731,639
2535,647,541
2540,731,604
2545,631,532
2550,747,648
2555,657,560
2560,623,534
2565,714,591
2570,628,507
2575,725,607
2580,624,553
2585,727,639
2590,640,555
2595,665,551
2600,676,563
2605,654,608
2610,754,679
2615,654,562
2620,713,617
2625,597,532
2630,696,627
2635,597,612
2640,739,723
2646,679,598
2651,805,636
2656,692,540
2661,799,631
2666,691,608
2671,774,712
2676,692,602
2681,849,686
2686,754,604
2691,743,627
