timestamp,fsr_left,fsr_right,f_l,f_r,p_sum,z_score,status
82272,11.0,909.0,11.16118430124249,908.0362163210908,919.1974006223334,-3.303419898339459,Danger
82277,12.0,908.0,11.963139661037062,909.2028767005997,921.1660163616368,-3.2916079062773265,Danger
82282,12.0,909.0,12.705700562608682,910.3259259176095,923.0316264802182,-3.2804139635124914,Danger
82287,12.0,909.0,13.351006159881061,911.3673941787705,924.7184003386516,-3.2702930653460074,Danger
1999,16.0,916.0,13.856470627983835,912.2801536440131,926.136624271997,-3.2617835073309274,Danger
2004,17.0,916.0,14.179824242896467,913.0159138784888,927.1957381213853,-3.2554286641118564,Danger
2009,19.0,916.0,14.291848923977005,913.5426938695339,927.8345427935109,-3.251595739501048,Danger
2014,17.0,916.0,14.187107205250461,913.8551885024154,928.0422957076659,-3.2503491906068733,Danger
2019,15.0,916.0,13.88661572600637,913.9738968899742,927.8605126159806,-3.251439916639967,Danger
2024,15.0,914.0,13.434391182718219,913.9406170407518,927.37500822347,-3.2543530163962937,Danger
2029,9.0,912.0,12.890190217078676,913.8107521576903,926.700942374769,-3.2583975133975356,Danger
2034,10.0,912.0,12.318036858062465,913.6407889055968,925.9588257636592,-3.2628503252615246,Danger
2039,11.0,912.0,11.772509521958291,913.4767420941745,925.2492516161328,-3.2671078774240616,Danger
2044,10.0,912.0,11.290387944728078,913.3493444591317,924.6397324038597,-3.2707650848482155,Danger
2049,10.0,912.0,10.890926247080682,913.2742849416722,924.1652111887529,-3.2736122838796216,Danger
2054,10.0,913.0,10.579978418192898,913.2540405602285,923.8340189784215,-3.2755994872130967,Danger
2059,12.0,914.0,10.353988362880704,913.2811347913497,923.6351231542304,-3.276792892228423,Danger
2064,11.0,913.0,10.203136640054161,913.34278114188,923.5459177819341,-3.277328137948767,Danger
2069,10.0,914.0,10.114292736343591,913.4257059946423,923.5399987309859,-3.2773636531493318,Danger
2074,10.0,914.0,10.07448572076812,913.5193684452189,923.5938541659871,-3.2770405123971593,Danger
2079,11.0,913.0,10.073121262740756,913.615807813979,923.6889290767198,-3.2764700485588074,Danger
2084,10.0,913.0,10.101177697167719,913.7081123455494,923.8092900427171,-3.2757478645659814,Danger
2089,10.0,914.0,10.149378463953783,913.7907413682117,923.9401198321655,-3.274962866049713,Danger
2094,10.0,914.0,10.207327574617945,913.8605110542342,924.0678386288521,-3.274196533960353,Danger
2099,12.0,914.0,10.263705799049976,913.9164078941067,924.1801136931566,-3.2735228666001555,Danger
2104,11.0,914.0,10.308260085938649,913.9588917528414,924.26715183878,-3.2730006245675027,Danger
2109,11.0,914.0,10.335061212060767,913.9893311061137,924.3243923181744,-3.272657173037201,Danger
2114,9.0,914.0,10.344600867404347,914.0095686703557,924.3541695377601,-3.272478505217801,Danger
2119,11.0,914.0,10.343519500702058,914.0216058421838,924.3651253428859,-3.2724127687306863,Danger
2124,9.0,914.0,10.341961347096182,914.0273889928415,924.3693503399377,-3.272387418109617,Danger
2129,10.0,914.0,10.349760913301791,914.0286785542098,924.3784394675116,-3.2723328819700286,Danger
2134,10.0,915.0,10.37389360487475,914.0269819700811,924.4008755749559,-3.272198261933347,Danger
2139,10.0,915.0,10.417733257314007,914.0235331360495,924.4412663933635,-3.2719559109163914,Danger
2144,11.0,914.0,10.480792331665292,914.0193032631257,924.500095594791,-3.2716029268137,Danger
2149,11.0,914.0,10.55891213322867,914.0150306946009,924.5739428278296,-3.2711598322508317,Danger
2154,10.0,914.0,10.646164788358465,914.0112597535428,924.6574245419013,-3.27065892934517,Danger
2159,11.0,914.0,10.737870363102505,914.008380996051,924.7462513591535,-3.270125955012323,Danger
2164,11.0,914.0,10.832258019606735,914.0066671906144,924.8389252102211,-3.2695698978949674,Danger
2169,9.0,914.0,10.930181050494966,914.006300912667,924.936481963162,-3.268984542628148,Danger
2174,12.0,914.0,11.03416282985924,914.0073908708316,925.0415537006909,-3.268354096317643,Danger
2179,12.0,914.0,11.147398787865898,914.0099750455848,925.1573738334507,-3.26765915801075,Danger
2184,11.0,914.0,11.272694039266002,914.0140095306976,925.2867035699636,-3.2668831600388817,Danger
2189,11.0,914.0,11.411309857410117,914.0193427514182,925.4306526088283,-3.2660194440426746,Danger
2194,10.0,914.0,11.561696571445905,914.0256756309069,925.5873722023528,-3.265079102787785,Danger
2199,12.0,914.0,11.718735463502266,914.0325094305222,925.7512448940245,-3.264095841862567,Danger
2204,12.0,914.0,11.874766859470837,914.0390845357767,925.9138513952475,-3.2631201782714703,Danger
2209,12.0,914.0,12.021821853810586,914.0443155143954,926.066137368206,-3.2622064394102765,Danger
2214,10.0,914.0,12.15260794161025,914.0467304166658,926.199338358276,-3.2614072133317875,Danger
2219,12.0,915.0,12.25969489136519,914.0444255454075,926.3041204367727,-3.2607785050192684,Danger
2224,13.0,915.0,12.33486501313204,914.0350507343015,926.3699157474335,-3.260383723208001,Danger
2229,14.0,914.0,12.370592535472507,914.0158443642,926.3864368996725,-3.2602845937968072,Danger
2234,13.0,914.0,12.363098443881572,913.9837415893016,926.3468400331832,-3.2605221809822185,Danger
2239,12.0,914.0,12.31452556536336,913.9355830169005,926.2501085822639,-3.2611025843121344,Danger
2244,14.0,914.0,12.233003195280565,913.8684536301789,926.1014568254595,-3.2619945173269627,Danger
2249,12.0,914.0,12.130579379583628,913.7801820396003,925.9107614191839,-3.263138718595012,Danger
2254,12.0,914.0,12.020207242328375,913.6700268828407,925.6902341251691,-3.2644619156996475,Danger
2259,11.0,914.0,11.914194862269484,913.5395687690326,925.4537636313021,-3.2658807744137786,Danger
2264,12.0,913.0,11.823996159334884,913.3931818464964,925.2171780058313,-3.267300323934938,Danger
2269,11.0,913.0,11.758704423107803,913.2368089306432,924.995513353751,-3.268630345359919,Danger
2274,11.0,913.0,11.722769703053316,913.075631233728,924.7984009367814,-3.2698130496622917,Danger
2279,12.0,913.0,11.71600451093376,912.9131001945491,924.6291047054829,-3.2708288526452316,Danger
2284,13.0,913.0,11.735204135911049,912.7519130373604,924.4871171732715,-3.271680799304967,Danger
2289,11.0,912.0,11.77548862748458,912.5956346361924,924.371123263677,-3.272376780299141,Danger
2294,12.0,912.0,11.832020834407794,912.4496725982482,924.281693432656,-3.2729133728057676,Danger
2299,12.0,913.0,11.901512066233519,912.3203070035418,924.2218190697753,-3.273272628035192,Danger
2304,12.0,912.0,11.982298688856933,912.2123541625131,924.19465285137,-3.273435629452764,Danger
2309,11.0,912.0,12.073651253573939,912.1279285261044,924.2015797796784,-3.2733940668356625,Danger
2314,12.0,912.0,12.174965268619612,912.0668894073171,924.2418546759368,-3.273152411369128,Danger
2319,11.0,912.0,12.284845024456889,912.0276912042648,924.3125362287217,-3.272728311366387,Danger
2324,12.0,912.0,12.400091164794677,912.0080053696339,924.4080965344286,-3.272154935084805,Danger
2329,13.0,912.0,12.515240034170608,912.0051265496288,924.5203665837994,-3.2714812978149683,Danger
2334,13.0,912.0,12.62394709880635,912.016184279576,924.6401313783823,-3.270762690940761,Danger
2339,13.0,913.0,12.721633564306186,912.0381863931692,924.7598199574754,-3.270044541371015,Danger
2344,13.0,912.0,12.806931142723963,912.067922810407,924.874853953131,-3.2693543200056,Danger
2349,13.0,912.0,12.881334880198734,912.1017602963235,924.9830951765223,-3.2687048563007406,Danger
2354,12.0,912.0,12.94833734619182,912.1353615238665,925.0836988700584,-3.2681012189296963,Danger
2359,12.0,913.0,13.012662389881022,912.1633664130237,925.1760288029047,-3.2675472253736637,Danger
2364,13.0,912.0,13.078938282423913,912.1790809928664,925.2580192752903,-3.2670552701435733,Danger
2369,13.0,912.0,13.149140494839525,912.1748581796967,925.3239986745363,-3.266659383772964,Danger
2374,12.0,913.0,13.220657085629343,912.1438648053468,925.3645218909761,-3.266416238347799,Danger
2379,13.0,913.0,13.2868532330629,912.0814162732579,925.3682695063208,-3.2663937520891455,Danger
2384,14.0,912.0,13.338900567748858,911.9840542054367,925.3229547731855,-3.266665647338891,Danger
2390,14.0,912.0,13.368299970230389,911.8483055379237,925.2166055081541,-3.2673037590075547,Danger
2395,14.0,912.0,13.370173974657225,911.6710507865167,925.0412247611739,-3.268356070004476,Danger
2400,13.0,912.0,13.34551105520662,911.4509056838064,924.796416739013,-3.269824955148884,Danger
2405,13.0,912.0,13.30114179615047,911.190011732336,924.4911535284864,-3.271656580563439,Danger
2410,14.0,911.0,13.247437119146623,910.8956117011296,924.1430488202762,-3.2737452614411118,Danger
2415,13.0,910.0,13.194929203235029,910.579493911246,923.774423114481,-3.2759570714067743,Danger
2420,15.0,910.0,13.152283315455241,910.2546063342711,923.4068896497264,-3.278162327761062,Danger
2425,12.0,910.0,13.126153671383898,909.9318833868261,923.0580370582101,-3.2802554960516415,Danger
2430,13.0,910.0,13.12157907210084,909.6203155653236,922.7418946374245,-3.28215239837253,Danger
2435,16.0,908.0,13.142220477306143,909.3288937591109,922.4711142364171,-3.2837771217166662,Danger
2440,13.0,909.0,13.190388617445606,909.0671835292756,922.2575721467211,-3.2850584065393265,Danger
2445,13.0,909.0,13.26682466828596,908.8444359948983,922.1112606631842,-3.2859362975607342,Danger
2450,13.0,909.0,13.370211840158017,908.66965912106,922.0398709612181,-3.286364646565625,Danger
2455,14.0,908.0,13.497041774331617,908.5531848556235,922.0502266299551,-3.286302510987575,Danger
2460,15.0,908.0,13.643107454869204,908.5077469101687,922.150854365038,-3.2856987293636153,Danger
2465,14.0,909.0,13.806021533900909,908.5470731201824,922.3530946540833,-3.284485257053528,Danger
2470,14.0,908.0,13.986274159979633,908.6825002293659,922.6687743893456,-3.2825911309157303,Danger
