timestamp,fsr_left,fsr_right
1999,1017,756
2004,1018,757
2009,1018,756
2014,1018,751
2019,1018,751
2024,1018,753
2029,1018,754
2034,1019,756
2039,1017,754
2044,1017,751
2049,1016,751
2054,1017,749
2059,1016,751
2064,1017,750
2069,1018,750
2074,1018,749
2079,1018,749
2084,1018,749
2089,1018,748
2094,1018,750
2099,1017,751
2104,1018,754
2109,1019,754
2114,1019,752
2119,1019,751
2124,1019,751
2129,1018,752
2134,1018,753
2139,1018,754
2144,1019,756
2149,1019,759
2154,1019,759
2159,1019,758
2164,1019,758
2169,1019,757
2174,1019,755
2179,1018,757
2184,1019,759
2189,1020,759
2194,1020,759
2199,1020,759
2204,1020,759
2209,1020,760
2214,1021,761
2219,1020,761
2224,1020,762
2229,1021,761
2234,1021,761
2239,1020,760
2244,1020,761
2249,1021,762
2254,1021,762
2259,1020,763
2264,1021,764
2269,1022,764
2274,1021,764
2279,1021,763
2284,1021,762
2289,1021,762
2294,1020,761
2299,1021,760
2304,1021,761
2309,1022,761
2314,1022,760
2319,1021,760
2324,1020,761
2329,1020,761
2334,1020,761
2339,1021,761
2344,1021,761
2349,1022,761
2354,1021,760
2359,1021,759
2364,1021,758
2369,1020,757
2374,1021,757
2379,1021,757
2384,1020,756
2390,1020,755
2395,1021,755
2400,1020,754
2405,1020,751
2410,1019,750
2415,1019,749
2420,1019,746
2425,1019,747
2430,1018,746
2435,1020,747
2440,1019,747
2445,1019,747
2450,1019,747
2455,1019,745
2460,1019,742
2465,1019,741
2470,1019,741
2475,1019,741
2480,1019,741
2485,1018,741
2490,1018,742
2495,1018,743
2500,1018,742
2505,1018,742
2510,1018,742
2515,1018,741
2520,1019,742
2525,1019,741
2530,1018,741
2535,1018,741
2540,1018,743
2545,1018,745
2550,1018,745
2555,1019,746
2560,1019,743
2565,1018,745
2570,1018,746
2575,1018,745
2580,1018,746
2585,1018,745
2590,1018,746
2595,1018,747
2600,1019,746
2605,1018,744
2610,1018,743
2615,1018,743
2620,1018,743
2625,1018,743
2630,1018,743
2635,1018,744
2640,1019,744
2646,1018,745
2651,1018,745
2656,1018,747
2661,1018,746
2666,1018,747
2671,1018,747
2676,1018,746
2681,1018,747
2686,1019,747
2691,1018,746
2696,1018,746
2701,1018,747
2706,1018,746
2711,1018,746
2716,1018,745
2721,1018,745
2726,1019,746
2731,1018,745
2736,1018,745
2741,1018,744
2746,1017,743
2751,1018,743
2756,1017,744
2761,1017,745
2766,1018,745
2771,1018,744
2776,1017,745
2781,1017,744
2786,1017,744
2791,1017,744
2796,1017,744
2801,1018,745
2806,1018,746
2811,1018,747
2816,1017,747
2821,1018,748
