timestamp,fsr_left,fsr_right
996,818
97,825
13322,996,822
13327,996,821
13332,996,819
13337,996,820
13342,996,819
13347,996,818
13352,996,818
13357,996,818
1999,994,798
2004,995,799
2009,994,799
2014,995,799
2019,995,800
2024,995,799
2029,995,797
2034,995,796
2039,995,797
2044,994,797
2049,995,797
2054,994,797
2059,994,798
2064,996,797
2069,995,797
2074,995,797
2079,995,797
2084,995,797
2089,995,796
2094,994,797
2099,995,797
2104,995,797
2109,994,796
2114,995,797
2119,995,797
2124,994,797
2129,994,796
2134,994,797
2139,995,797
2144,995,797
2149,995,797
2154,995,797
2159,994,797
2164,994,796
2169,994,796
2174,994,797
2179,995,797
2184,995,797
2189,994,797
2194,994,796
2199,994,796
2204,994,796
2209,994,797
2214,994,796
2219,995,797
2224,995,797
2229,995,796
2234,994,797
2239,994,796
2244,995,797
2249,995,796
2254,994,797
2259,995,797
2264,995,797
2269,994,797
2274,994,796
2279,994,797
2284,994,797
2289,994,796
2294,994,797
2299,995,797
2304,995,797
2309,995,796
2314,995,796
2319,994,796
2324,995,797
2329,994,797
2334,995,797
2339,994,797
2344,995,797
2349,995,797
2354,995,797
2359,995,797
2364,994,797
2369,995,797
2374,995,797
2379,995,797
2384,996,797
2390,995,797
2395,995,797
2400,995,796
2405,994,797
2410,994,797
2415,994,797
2420,994,797
2425,994,798
2430,995,798
2435,995,797
2440,995,798
2445,995,798
2450,995,798
2455,995,798
2460,995,798
2465,995,799
2470,996,799
2475,994,798
2480,994,798
2485,994,798
2490,994,798
2495,995,798
2500,994,798
2505,995,798
2510,995,798
2515,995,798
2520,994,797
2525,995,798
2530,995,798
2535,994,797
2540,994,798
2545,995,799
2550,995,798
2555,995,798
2560,995,798
2565,994,797
2570,995,797
2575,995,797
2580,995,797
2585,995,797
2590,995,797
2595,995,797
2600,994,796
2605,994,796
2610,995,796
2615,995,796
2620,995,796
2625,995,797
2630,995,797
2635,995,796
2640,995,796
2646,995,796
2651,995,796
2656,995,796
2661,995,796
2666,995,796
2671,995,796
2676,996,796
2681,996,796
2686,995,796
2691,994,796
2696,994,796
2701,995,795
2706,995,796
2711,995,796
2716,996,796
2721,995,796
2726,995,796
2731,995,796
2736,994,795
2741,995,796
2746,994,796
2751,995,796
2756,995,796
2761,995,796
2766,995,796
2771,995,796
2776,994,796
2781,994,796
2786,995,796
2791,995,796
2796,996,796
2801,995,796
2806,995,796
2811,994,796
2816,964,693
2821,743,536
2826,959,690
2831,736,532
2836,959,690
2841,750,547
2846,959,696
2851,760,559
2856,978,701
2861,985,700
2866,799,559
2871,1023,676
2876,807,511
2881,1023,658
2886,806,546
2891,1023,752
2896,804,597
2902,1022,754
2907,795,597
2912,995,746
2917,771,599
2922,975,750
2927,772,604
2932,968,745
2937,767,602
2942,967,737
2947,969,714
2952,772,575
2957,964,703
2962,788,599
2967,972,686
2972,793,614
2977,963,671
2982,772,606
2987,778,618
2992,919,675
2997,798,746
3002,894,659
3007,805,770
3012,869,629
3017,804,712
3022,854,622
3027,961,691
3032,977,708
3037,839,597
3042,964,696
3047,834,602
3052,956,709
3057,824,620
3062,960,721
3067,807,624
3072,825,647
3077,961,750
3082,810,636
3087,946,727
3092,784,601
3097,942,697
3102,789,603
3107,926,712
3112,791,604
3117,767,585
3122,934,692
3127,806,610
3132,943,698
3137,778,613
3142,925,751
3147,781,610
3152,919,705
3158,764,589
3163,921,700
3168,786,619
3173,911,715
3178,748,613
3183,885,705
3188,752,607
3193,879,697
3198,726,574
3203,758,609
3208,880,691
3213,709,617
3218,860,722
3223,715,619
3228,849,707
3233,740,636
3238,865,673
3243,851,669
3248,722,630
3253,795,670
3258,635,717
3263,721,655
3268,646,730
3273,688,631
3278,649,708
3283,714,631
3288,692,631
3293,799,733
3298,721,627
3303,872,739
3308,737,645
3313,799,715
3318,706,625
3323,765,703
3328,752,707
3333,663,615
3338,764,699
3343,687,616
3348,815,706
3353,707,619
3358,781,700
3363,679,627
3368,743,709
3373,748,702
3378,646,596
3383,818,729
3388,679,607
3393,808,741
3398,683,642
3403,773,735
3408,656,635
3414,765,735
3419,685,615
3424,812,670
3429,758,574
3434,935,636
3439,789,584
3444,879,738
3449,697,668
3454,829,829
3459,836,811
3464,739,644
3469,900,718
3474,725,602
3479,842,679
3484,667,569
3489,824,654
3494,703,599
3499,726,587
3504,871,687
3509,736,666
3514,851,691
3519,710,772
3524,799,688
3529,642,797
3534,646,623
3539,665,728
3544,691,732
3549,674,608
3554,748,703
3559,639,613
3564,730,720
3569,647,637
3574,742,745
3579,666,613
3584,675,580
3589,786,684
3594,667,545
3599,808,669
3604,675,555
3609,803,672
3614,679,592
3619,808,694
3624,696,629
3629,702,696
3634,808,753
3639,704,727
3644,857,839
3649,768,694
3654,892,726
3659,728,564
3664,674,493
3670,731,389
3675,796,414
3680,806,336
3685,825,524
3690,763,479
3695,816,642
3700,544,0
3705,335,660
3710,279,413
3715,280,387
3720,552,440
3725,540,344
3730,747,499
3735,661,522
3740,822,660
3745,736,610
3750,873,628
3755,844,603
3760,617,547
3765,597,600
3770,371,507
3775,469,554
3780,460,577
3785,470,463
3790,426,484
3795,499,407
3800,501,457
3805,495,597
3810,494,511
3815,555,518
3820,422,445
3825,426,473
3830,248,392
3835,160,437
3840,0,455
3845,0,438
3850,0,512
3855,0,490
3860,154,593
3865,86,473
3870,193,847
3875,192,791
3880,460,885
3885,571,0
3890,656,0
3895,727,472
3900,634,0
3905,763,205
3910,679,177
3915,819,0
3920,621,627
3926,784,808
3931,630,710
3936,608,626
3941,653,541
3946,630,518
3951,631,537
3956,707,647
3961,621,551
3966,811,648
3971,731,620
3976,541,491
3981,670,583
3986,598,547
3991,742,672
3996,639,575
4001,793,655
4006,625,531
4011,546,522
4016,576,545
4021,420,468
4026,520,503
4031,462,458
4036,534,493
4041,422,589
4046,510,565
4051,470,644
4056,474,597
4061,144,380
4066,1,540
4071,182,510
4076,199,588
4081,184,557
4086,0,808
4091,238,796
4096,568,805
4101,716,887
4106,313,632
4111,114,637
4116,0,584
4121,0,0
4126,0,704
4131,0,858
4136,0,705
4141,0,682
4146,545,763
4151,643,633
4156,858,775
4161,709,658
4166,857,776
4171,661,611
4176,707,761
4182,508,637
4187,702,776
4192,648,638
4197,851,782
4202,692,632
4207,855,774
4212,663,613
4217,750,731
4222,603,577
4227,613,578
4232,761,708
4237,614,579
4242,770,738
4247,622,621
4252,783,764
4257,643,634
4262,823,746
4267,878,736
4272,719,617
4277,828,690
4282,588,577
4287,653,645
4292,533,577
4297,629,618
4302,541,691
4307,622,622
4312,657,653
4317,606,723
4322,666,615
4327,675,699
4332,636,569
4337,627,585
4342,639,602
4347,742,704
4352,734,672
4357,601,536
4362,679,580
4367,594,517
4372,671,601
4377,579,488
4382,624,508
4387,640,543
4392,736,649
4397,763,618
4402,619,502
4407,697,743
4412,605,733
4417,739,879
4422,639,691
4427,792,618
4432,675,345
4438,745,437
4443,463,596
4448,596,789
4453,486,671
4458,664,773
4463,636,678
4468,775,805
4473,667,686
4478,795,826
4483,818,775
4488,664,669
4493,817,797
4498,671,670
4503,809,811
4508,640,667
4513,766,779
4518,608,629
4523,604,600
4528,747,720
4533,623,638
4538,756,706
4543,630,621
4548,753,661
4553,630,569
4558,737,628
4563,635,676
4568,622,712
4573,698,619
4578,619,763
4583,617,666
4588,599,763
4593,615,634
4598,726,695
4603,623,600
4608,622,596
4613,708,686
4618,596,576
4623,716,662
4628,613,588
4633,647,662
4638,548,570
4643,692,673
4648,585,563
4653,560,537
4658,665,632
4663,580,539
4668,644,623
4673,539,564
4678,542,732
4683,436,668
4688,784,791
4694,747,655
4699,904,737
4704,789,598
4709,891,681
4714,708,543
4719,763,680
4724,552,570
4729,474,707
4734,281,685
4739,274,699
4744,550,866
4749,534,769
4754,747,869
4759,652,699
4764,815,831
4769,656,665
4774,783,770
4779,763,776
4784,610,668
4789,762,806
4794,630,698
4799,820,798
4804,695,691
4809,849,739
4814,660,651
4819,754,694
4824,736,691
4829,637,812
4834,780,689
4839,691,807
4844,750,690
4849,714,794
4854,687,669
4859,822,788
4864,812,776
4869,683,671
4874,805,786
4879,694,660
4884,842,779
4889,700,652
4894,824,772
