timestamp,fsr_left,fsr_right
1999,0,559
2004,0,559
2009,0,559
2014,0,560
2019,0,560
2024,0,560
2029,0,560
2034,0,560
2039,0,560
2044,0,560
2049,0,560
2054,0,561
2059,0,561
2064,0,562
2069,0,562
2074,0,562
2079,0,562
2084,0,561
2089,0,560
2094,0,560
2099,0,560
2104,0,559
2109,0,559
2114,0,559
2119,0,559
2124,0,559
2129,0,560
2134,0,560
2139,0,561
2144,0,561
2149,0,561
2154,0,561
2159,0,560
2164,0,561
2169,0,561
2174,0,561
2179,0,561
2184,0,562
2189,0,560
2194,0,559
2199,0,560
2204,0,561
2209,0,561
2214,0,560
2219,0,560
2224,0,560
2229,0,560
2234,0,561
2239,0,561
2244,0,561
2249,0,562
2254,0,562
2259,0,562
2264,0,563
2269,0,563
2274,0,563
2279,0,562
2284,0,562
2289,0,562
2294,0,564
2299,0,564
2304,0,566
2309,0,567
2314,0,566
2319,0,566
2324,0,566
2329,0,566
2334,0,566
2339,0,567
2344,0,568
2349,0,570
2354,0,570
2359,0,570
2364,0,570
2369,0,569
2374,0,569
2379,0,568
2384,0,568
2390,0,569
2395,0,569
2400,0,571
2405,0,572
2410,0,570
2415,0,571
2420,0,569
2425,0,571
2430,0,570
2435,0,570
2440,0,570
2445,0,569
2450,0,569
2455,0,567
2460,0,562
2465,0,562
2470,0,561
2475,0,561
2480,0,560
2485,0,559
2490,0,558
2495,0,555
2500,0,551
2505,0,553
2510,0,554
2515,0,552
2520,0,552
2525,0,550
2530,0,549
2535,0,545
2540,0,545
2545,0,542
2550,0,541
2555,0,541
2560,0,543
2565,0,539
2570,0,540
2575,0,539
2580,0,540
2585,0,540
2590,0,540
2595,0,540
2600,0,538
2605,0,538
2610,0,538
2615,0,537
2620,0,537
2625,0,538
2630,0,539
2635,0,540
2640,0,539
2646,0,539
2651,0,540
2656,0,538
2661,0,538
2666,0,539
2671,0,541
2676,0,542
2681,0,541
2686,0,542
2691,0,542
2696,0,542
2701,0,544
2706,0,543
2711,0,543
2716,0,548
2721,0,549
2726,0,547
2731,0,546
2736,0,549
2741,0,547
2746,0,549
2751,0,549
2756,0,550
2761,0,549
2766,0,552
2771,0,550
2776,0,550
2781,0,474
2786,0,370
2791,0,471
2796,0,367
2801,0,471
2806,0,360
2811,0,456
2816,0,454
2821,0,353
2826,0,463
2831,0,357
2836,0,464
2841,0,363
2846,0,463
2851,208,361
2856,550,420
2861,733,426
2866,642,280
2871,738,165
2876,513,78
2881,659,98
2886,572,133
2891,771,273
2896,662,229
2902,897,123
2907,716,0
2912,915,0
2917,723,0
2922,930,0
2927,743,0
2932,948,116
2937,754,172
2942,961,302
2947,959,198
2952,752,161
2957,967,176
2962,756,99
2967,973,232
2972,772,389
2977,968,515
2982,763,528
2987,753,517
2992,900,492
2997,750,551
3002,874,478
3007,743,604
3012,831,502
3017,709,639
3022,763,542
3027,865,620
3032,889,614
3037,745,522
3042,907,639
3047,772,535
3052,916,601
3057,774,515
3062,910,559
3067,733,454
3072,714,443
3077,882,559
3082,742,472
3087,881,620
3092,708,514
3097,795,574
3102,645,462
3107,770,552
3112,610,500
3117,615,534
3122,755,635
3127,631,530
3132,765,629
3137,632,542
3142,671,624
3147,591,525
3152,713,628
3158,608,508
3163,723,557
3168,563,456
3173,637,553
3178,514,479
3183,614,644
3188,530,538
3193,643,555
3198,502,460
3203,402,409
3208,463,489
3213,391,420
3218,438,503
3223,398,441
3228,485,549
3233,349,477
3238,374,556
3243,424,604
3248,363,538
3253,400,575
3258,353,604
3263,437,515
3268,402,582
3273,461,500
3278,414,612
3283,426,490
3288,384,506
3293,321,552
3298,249,520
3303,224,644
3308,194,471
3313,294,597
3318,325,529
3323,294,610
3328,303,500
3333,171,446
3338,0,608
3343,0,564
3348,0,548
3353,70,512
3358,94,658
3363,194,566
3368,231,670
3373,231,682
3378,418,604
3383,624,683
3388,436,606
3393,644,701
3398,669,598
3403,842,705
3408,725,640
3414,797,726
3419,618,641
3424,639,748
3429,530,613
3434,645,665
3439,537,590
3444,614,663
3449,332,574
3454,343,675
3459,396,680
3464,345,613
3469,413,757
3474,507,644
3479,811,737
3484,712,679
3489,892,744
3494,759,679
3499,746,664
3504,889,738
3509,764,672
3514,859,711
3519,733,766
3524,828,664
3529,731,735
3534,743,547
3539,615,580
3544,563,626
3549,447,559
3554,611,618
3559,588,512
3564,652,630
3569,352,574
3574,418,718
3579,688,587
3584,728,588
3589,916,713
3594,797,630
3599,891,761
3604,706,696
3609,631,841
3614,179,726
3619,0,774
3624,0,658
3629,0,602
3634,0,564
3639,149,593
3644,319,608
3649,0,522
