timestamp,fsr_left,fsr_right
3189,911,486
93194,911,486
93199,911,486
10,484
93164,911,485
93169,911,485
93174,912,485
93179,911,485
93184,910,485
93189,911,486
93194,911,486
93199,911,486
1999,909,490
2004,712,342
2009,707,341
2014,876,424
2019,690,335
2024,873,423
2029,681,332
2034,872,423
2039,674,330
2044,871,423
2049,872,423
2054,669,329
2059,872,423
2064,667,328
2069,871,423
2074,664,327
2079,871,423
2084,662,327
2089,871,423
2094,872,423
2099,661,326
2104,872,423
2109,660,326
2114,872,424
2119,659,325
2124,872,423
2129,658,325
2134,658,325
2139,872,423
2144,657,325
2149,872,424
2154,656,325
2159,872,423
2164,656,324
2169,872,415
2174,656,324
2179,656,324
2184,872,394
2189,654,324
2194,861,381
2199,654,323
2204,831,370
2209,654,353
2214,798,362
2219,787,358
2224,653,461
2229,760,351
2234,653,437
2239,739,346
2244,878,420
2249,722,342
2254,917,418
2259,708,338
2264,703,337
2269,872,420
2274,692,334
2279,867,421
2284,683,332
2289,867,422
2294,675,330
2299,868,422
2304,868,421
2309,668,328
2314,868,422
2319,665,328
2324,868,422
2329,663,327
2334,869,423
2339,662,327
2344,869,423
2349,869,423
2354,659,326
2359,869,423
2364,658,326
2369,869,423
2374,658,326
2379,869,423
2384,657,325
2390,869,423
2395,656,325
2400,869,423
2405,655,325
2410,869,423
2415,655,324
2420,870,423
2425,655,325
2430,870,415
2435,870,409
2440,654,324
2445,870,394
2450,887,478
2455,859,381
2460,653,324
2465,830,370
2470,652,353
2475,652,420
2480,784,357
2485,651,460
2490,758,351
2495,651,437
2500,738,347
2505,877,420
2510,720,341
2515,915,417
2520,901,418
2525,702,336
2530,870,419
2535,690,334
2540,866,421
2545,682,332
2550,866,421
2555,673,329
2560,671,329
2565,866,420
2570,667,328
2575,866,421
2580,665,327
2585,866,421
2590,662,327
2595,867,422
2600,660,327
2605,659,326
2610,867,421
2615,658,326
2620,868,422
2625,658,325
2630,868,422
2635,656,326
2640,868,422
2646,656,325
2651,868,422
2656,655,325
2661,868,423
2666,655,325
2671,868,422
2676,654,324
2681,868,422
2686,654,324
2691,653,324
2696,868,409
2701,653,324
2706,870,393
2711,653,323
2716,857,380
2721,652,323
2726,828,369
2731,814,365
2736,652,420
2741,784,358
2746,652,460
2751,758,351
2756,651,436
2761,737,346
2766,875,419
2771,719,341
2776,714,339
2781,899,418
2786,702,336
2791,870,419
2796,690,334
2801,865,419
2806,681,331
2811,865,420
2816,865,420
2821,671,329
2826,866,420
2831,667,328
2836,866,420
2841,664,327
2846,866,421
2851,661,326
2856,867,421
2861,866,422
2866,659,327
2871,866,422
2876,658,326
2881,866,422
2886,657,325
2891,867,422
2896,656,325
2902,867,423
2907,655,326
2912,868,423
2917,655,325
2922,867,423
2927,654,325
2932,867,423
2937,654,324
2942,868,423
2947,868,419
2952,654,325
2957,868,409
2962,652,324
2967,868,394
2972,652,324
2977,856,380
2982,651,324
2987,652,324
2992,814,367
2997,652,421
3002,783,358
3007,651,461
3012,757,352
3017,650,437
3022,736,346
3027,874,419
3032,912,418
3037,713,340
3042,898,418
3047,700,337
3052,868,419
3057,689,335
3062,864,420
3067,680,332
3072,678,331
3077,864,420
3082,670,329
3087,864,421
3092,666,328
3097,864,421
3102,663,328
3107,864,421
3112,661,327
3117,660,327
3122,865,421
3127,659,326
3132,865,421
3137,658,326
3142,866,421
3147,657,325
3152,866,422
3158,656,325
3163,866,422
3168,655,325
3173,866,422
3178,654,325
3183,867,422
3188,654,325
3193,866,422
3198,654,325
3203,654,325
3208,866,419
3213,653,325
3218,867,409
3223,653,325
3228,867,394
3233,652,324
3238,856,381
3243,847,376
3248,651,324
3253,812,366
3258,651,420
3263,782,358
3268,650,460
3273,756,351
3278,650,437
3283,736,346
3288,728,344
3293,910,417
3298,713,340
3303,897,418
3308,700,337
3313,867,420
3318,689,335
3323,864,420
3328,863,421
3333,677,331
3338,863,420
3343,670,330
3348,863,421
3353,665,328
3358,864,421
3363,663,328
3368,864,421
3373,864,421
3378,660,327
3383,864,422
3388,658,327
3393,865,422
3398,657,327
3403,865,422
3408,656,326
3414,865,422
3419,656,325
3424,865,422
3429,654,325
3434,865,422
3439,654,325
3444,865,422
3449,654,325
3454,867,422
3459,866,422
3464,653,325
3469,865,418
3474,652,324
3479,866,408
3484,652,324
3489,867,393
3494,652,324
3499,651,324
3504,846,375
3509,651,324
3514,812,366
3519,651,420
3524,782,359
3529,650,460
3534,756,351
3539,651,436
3544,709,427
3549,728,344
3554,909,418
3559,712,340
3564,897,418
3569,700,337
3574,866,419
3579,689,334
3584,685,333
3589,862,420
3594,676,331
3599,862,420
3604,670,330
3609,863,421
3614,665,329
3619,863,421
3624,662,328
3629,662,328
3634,863,421
3639,660,327
3644,864,422
3649,658,327
3654,864,422
3659,657,326
3664,864,422
3670,656,326
3675,864,423
3680,655,326
3685,865,422
3690,655,326
3695,865,423
3700,654,325
3705,865,423
3710,653,325
3715,653,325
3720,865,423
3725,653,325
3730,866,419
3735,653,325
3740,866,409
3745,652,325
3750,865,394
3755,866,388
3760,651,324
3765,846,376
3770,651,324
3775,813,366
3780,651,420
3785,781,358
3790,649,460
3795,756,351
3800,747,349
3805,709,427
3810,728,344
3815,909,417
3820,712,340
3825,895,418
3830,699,336
3835,866,419
3840,863,419
3845,685,333
3850,862,420
3855,677,331
3860,861,420
3865,669,329
3870,861,420
3875,664,328
3880,862,420
3885,862,421
3890,661,328
3895,862,421
3900,659,327
3905,862,421
3910,657,326
3915,863,421
3920,656,325
3926,863,421
3931,655,325
3936,864,421
3941,655,325
3946,864,421
3951,654,324
3956,864,421
3961,653,324
3966,864,421
3971,864,421
3976,653,324
3981,865,421
3986,652,324
3991,864,417
3996,651,323
4001,864,407
4006,651,323
4011,651,323
4016,866,387
4021,650,323
4026,844,375
4031,650,323
4036,810,365
4041,649,419
4046,780,357
4051,649,459
4056,650,452
4061,746,348
4066,708,426
4071,727,343
4076,908,416
4081,711,339
4086,894,417
4091,699,336
4096,694,335
4101,863,419
4106,684,332
4111,860,419
4116,675,330
4121,861,419
4126,668,329
4131,861,419
4136,664,328
4141,663,327
4146,861,420
4151,660,327
4156,862,420
4161,658,326
4166,862,420
4171,657,326
4176,863,421
4182,657,325
4187,863,421
4192,655,325
4197,862,421
4202,654,325
4207,863,421
4212,653,325
4217,863,421
4222,653,324
4227,653,324
4232,864,421
4237,652,324
4242,864,421
4247,651,324
4252,863,418
4257,651,324
4262,863,408
4267,864,402
4272,650,324
4277,863,387
4282,650,323
4287,843,375
4292,649,323
4297,810,365
4302,649,419
4307,780,357
4312,769,354
4317,649,452
4322,745,349
4327,708,426
4332,726,343
4337,906,416
4342,710,340
4347,894,417
4352,876,418
4357,693,335
4362,862,419
4367,683,333
4372,862,424
4377,690,341
4382,858,421
4387,681,339
4392,865,427
4397,865,433
4402,694,355
4407,883,422
4412,701,327
4417,873,392
4422,702,322
4427,886,410
4432,713,306
4438,926,257
4443,749,197
4448,949,173
4453,755,295
4458,954,397
4463,763,365
4468,953,468
4473,765,361
4478,953,426
4483,950,416
4488,764,337
4493,948,413
4498,755,340
4503,945,421
4508,767,349
4513,953,452
4518,772,379
4523,769,380
4528,953,444
4533,790,356
4538,953,398
4543,758,348
4548,929,392
4553,753,361
4558,897,396
4563,757,445
4568,764,466
4573,870,391
4578,717,461
4583,801,395
4588,774,542
4593,797,391
4598,991,439
4603,801,364
4608,799,364
4613,948,434
4618,795,434
4623,977,572
4628,800,388
4633,955,422
4638,787,348
4643,962,426
4648,798,387
4653,821,405
4658,975,475
4663,800,387
4668,997,480
4673,832,398
4678,1019,476
4683,836,407
4688,1023,495
4694,826,440
4699,1021,619
4704,826,521
4709,1021,614
4714,834,395
4719,1020,460
4724,833,376
4729,1006,480
4734,823,470
4739,826,487
4744,1003,568
4749,835,420
4754,1014,498
4759,826,461
4764,1006,573
4769,808,416
4774,999,499
4779,998,536
4784,815,417
4789,998,485
4794,829,419
4799,996,505
4804,803,472
4809,980,487
4814,818,413
4819,943,441
4824,930,486
4829,800,644
4834,898,581
4839,812,624
4844,890,519
4849,853,607
4854,864,569
4859,976,645
4864,963,641
4869,826,542
4874,951,640
4879,815,562
4884,927,693
4889,782,570
4894,768,528
4899,762,414
4904,901,487
4909,898,543
4914,781,556
4919,778,570
4924,780,523
4929,765,578
4934,794,569
4939,788,581
4944,800,588
4950,912,684
4955,771,607
4960,767,598
4965,772,569
4970,767,570
4975,764,554
4980,759,519
4985,790,539
4990,812,550
4995,814,514
5000,814,442
5005,801,467
5010,804,522
5015,838,585
5020,815,611
5025,829,641
5030,842,640
5035,841,611
5040,803,528
5045,818,427
5050,809,422
5055,808,520
5060,793,565
5065,773,559
5070,756,539
5075,763,524
5080,775,545
5085,863,575
5090,801,685
5095,890,626
5100,815,680
5105,840,630
5110,810,678
5115,801,627
5120,795,636
5125,870,662
5130,795,567
5135,880,605
5140,797,576
5145,866,679
5150,767,617
5155,859,681
5160,772,638
5165,777,677
5170,761,680
5175,798,666
5180,890,736
5185,793,662
5190,869,761
5195,754,686
5200,832,701
5206,740,633
5211,833,700
5216,726,612
5221,835,686
5226,744,665
5231,840,757
5236,742,674
5241,833,741
5246,681,686
5251,655,661
5256,728,732
5261,653,633
5266,775,710
5271,697,649
5276,789,707
5281,659,618
5286,741,706
5291,673,726
5296,671,668
5301,755,709
5306,651,635
5311,721,687
5316,596,641
5321,694,679
5326,614,647
5331,694,709
5336,698,703
5341,628,663
5346,720,665
5351,679,725
