timestamp,fsr_left,fsr_right,f_l,f_r,p_sum,z_score,status
1999,0,559,8.519152149532976e-15,558.9572377850701,558.9572377850701,-5.464915338480875,Danger
2004,0,559,1.2656744236015024e-14,559.1412008153033,559.1412008153033,-5.463811532486918,Danger
2009,0,559,1.7522768274182205e-14,559.3290121748056,559.3290121748056,-5.462684635935536,Danger
2014,0,560,2.2915067487889445e-14,559.5173056247887,559.5173056247887,-5.461554846768382,Danger
2019,0,560,2.845251815856526e-14,559.7025463507061,559.7025463507061,-5.460443374407151,Danger
2024,0,560,3.352268823552649e-14,559.8829274418658,559.8829274418658,-5.459361060589173,Danger
2029,0,560,3.7229199135998095e-14,560.059030608855,560.059030608855,-5.458304414962979,Danger
2034,0,560,3.8345218034144233e-14,560.2326371031469,560.2326371031469,-5.457262749750429,Danger
2039,0,560,3.528233424738395e-14,560.4049467542328,560.4049467542328,-5.456228865793179,Danger
2044,0,560,2.6087321055061035e-14,560.574825054217,560.574825054217,-5.455209570310125,Danger
2049,0,560,8.482782290131015e-15,560.7370750360143,560.7370750360143,-5.454236045889483,Danger
2054,0,561,-2.0028866861361432e-14,560.8813829484523,560.8813829484523,-5.453370176597581,Danger
2059,0,561,-6.197569217485012e-14,560.9932531123783,560.9932531123782,-5.452698938700869,Danger
2064,0,562,-1.1961662884007184e-13,561.0570310343292,561.057031034329,-5.452316261526862,Danger
2069,0,562,-1.9450803531034965e-13,561.0598876415203,561.05988764152,-5.452299121451838,Danger
2074,0,562,-2.8691586321782943e-13,560.9956443266937,560.9956443266933,-5.452684591053461,Danger
2079,0,562,-3.950607402829797e-13,560.8672908620731,560.8672908620728,-5.453454731246377,Danger
2084,0,561,-5.141970882332491e-13,560.6876167922504,560.6876167922499,-5.454532802829443,Danger
2089,0,560,-6.355488133820218e-13,560.4772941522933,560.4772941522926,-5.4557947704669365,Danger
2094,0,560,-7.451546759476096e-13,560.2602924650923,560.2602924650915,-5.457096813397669,Danger
2099,0,560,-8.227174548262566e-13,560.059585543369,560.0595855433683,-5.4583010852720015,Danger
2104,0,559,-8.406031798812805e-13,559.8954460802527,559.8954460802519,-5.45928594686622,Danger
2109,0,559,-7.631997032804385e-13,559.7842187600494,559.7842187600486,-5.459953327603406,Danger
2114,0,559,-5.469158980230691e-13,559.7361162858979,559.7361162858973,-5.460241949720714,Danger
2119,0,559,-1.411798274478106e-13,559.7537716272324,559.7537716272323,-5.460136015003472,Danger
2124,0,559,5.09130509653979e-13,559.8320799008518,559.8320799008522,-5.45966615352267,Danger
2129,0,560,1.4593272182584219e-12,559.9586752942869,559.9586752942884,-5.458906562022655,Danger
2134,0,560,2.7580906126970778e-12,560.1157208919346,560.1157208919374,-5.457964264693731,Danger
2139,0,561,4.437663144112627e-12,560.2831268274762,560.2831268274806,-5.456959803771109,Danger
2144,0,561,6.500618650115696e-12,560.4421022655544,560.4421022655608,-5.456005927107833,Danger
2149,0,561,8.902949059572938e-12,560.5779677059912,560.5779677060001,-5.455190713924303,Danger
2154,0,561,1.1533527747066475e-11,560.6811447540198,560.6811447540313,-5.454571636037234,Danger
2159,0,560,1.4190495681839489e-11,560.7464660862398,560.746466086254,-5.454179698168254,Danger
2164,0,561,1.6555807364266426e-11,560.7721632507946,560.7721632508112,-5.454025511295869,Danger
2169,0,561,1.817009577703565e-11,560.7592182825214,560.7592182825396,-5.454103183062593,Danger
2174,0,561,1.8411183075165116e-11,560.7111001898701,560.7111001898885,-5.4543918988932605,Danger
2179,0,561,1.6480967414823058e-11,560.6338777578437,560.6338777578602,-5.454855245160348,Danger
2184,0,562,1.1407012429117598e-11,560.5366731932627,560.536673193274,-5.455438487243794,Danger
2189,0,560,2.06686208616217e-12,560.4317643709998,560.4317643710018,-5.456067956038128,Danger
2194,0,559,-1.275525646544413e-11,560.3329855902323,560.3329855902196,-5.456660643656749,Danger
2199,0,560,-3.4268332865870275e-11,560.2529402363242,560.25294023629,-5.45714092788203,Danger
2204,0,561,-6.3519346486823e-11,560.2014157396069,560.2014157395433,-5.4574500826522705,Danger
2209,0,561,-1.0117152811331612e-10,560.1855108798374,560.1855108797362,-5.457545514215699,Danger
2214,0,560,-1.472066909520225e-10,560.210118525635,560.2101185254878,-5.457397864620868,Danger
2219,0,560,-2.0054645496157984e-10,560.2780610570616,560.278061056861,-5.456990199160698,Danger
2224,0,560,-2.585944531809523e-10,560.3898285565496,560.3898285562909,-5.456319577266484,Danger
2229,0,560,-3.167126742548769e-10,560.5428926857734,560.5428926854566,-5.4554011693504005,Danger
2234,0,561,-3.676607011503442e-10,560.7312236622192,560.7312236618516,-5.454271155019103,Danger
2239,0,561,-4.010473363506471e-10,560.9462959927369,560.9462959923358,-5.452980688520363,Danger
2244,0,561,-4.0287022765595354e-10,561.179009684378,561.1790096839751,-5.451584371187573,Danger
2249,0,562,-3.5525037004245477e-10,561.4207163732428,561.4207163728876,-5.450134094511532,Danger
2254,0,562,-2.3650371506803557e-10,561.6640656686251,561.6640656683886,-5.448673961947621,Danger
2259,0,562,-2.1729431280354438e-11,561.9043833698423,561.9043833698206,-5.447232019406458,Danger
