timestamp,fsr_left,fsr_right
909
82272,11,909
82277,12,908
82282,12,909
82287,12,909
8229
1999,16,916
2004,17,916
2009,19,916
2014,17,916
2019,15,916
2024,15,914
2029,9,912
2034,10,912
2039,11,912
2044,10,912
2049,10,912
2054,10,913
2059,12,914
2064,11,913
2069,10,914
2074,10,914
2079,11,913
2084,10,913
2089,10,914
2094,10,914
2099,12,914
2104,11,914
2109,11,914
2114,9,914
2119,11,914
2124,9,914
2129,10,914
2134,10,915
2139,10,915
2144,11,914
2149,11,914
2154,10,914
2159,11,914
2164,11,914
2169,9,914
2174,12,914
2179,12,914
2184,11,914
2189,11,914
2194,10,914
2199,12,914
2204,12,914
2209,12,914
2214,10,914
2219,12,915
2224,13,915
2229,14,914
2234,13,914
2239,12,914
2244,14,914
2249,12,914
2254,12,914
2259,11,914
2264,12,913
2269,11,913
2274,11,913
2279,12,913
2284,13,913
2289,11,912
2294,12,912
2299,12,913
2304,12,912
2309,11,912
2314,12,912
2319,11,912
2324,12,912
2329,13,912
2334,13,912
2339,13,913
2344,13,912
2349,13,912
2354,12,912
2359,12,913
2364,13,912
2369,13,912
2374,12,913
2379,13,913
2384,14,912
2390,14,912
2395,14,912
2400,13,912
2405,13,912
2410,14,911
2415,13,910
2420,15,910
2425,12,910
2430,13,910
2435,16,908
2440,13,909
2445,13,909
2450,13,909
2455,14,908
2460,15,908
2465,14,909
2470,14,908
2475,14,908
2480,12,908
2485,14,909
2490,14,910
2495,18,911
2500,16,912
2505,16,913
2510,16,913
2515,15,913
2520,16,913
2525,17,914
2530,16,914
2535,18,914
2540,18,915
2545,18,915
2550,16,915
2555,15,914
2560,16,915
2565,17,915
2570,15,914
2575,18,914
2580,16,915
2585,16,916
2590,18,915
2595,17,915
2600,19,915
2605,19,915
2610,18,914
2615,20,914
2620,16,915
2625,16,915
2630,17,915
2635,16,915
2640,16,915
2646,17,915
2651,18,915
2656,18,915
2661,17,915
2666,21,916
2671,17,916
2676,17,916
2681,17,916
2686,17,916
2691,18,915
2696,18,916
2701,19,915
2706,19,915
2711,19,916
2716,23,915
2721,23,915
2726,24,915
2731,21,915
2736,22,915
2741,22,915
2746,22,915
2751,24,917
2756,21,916
2761,24,916
2766,21,916
2771,22,916
2776,21,916
2781,22,916
2786,24,916
2791,24,917
2796,21,916
2801,21,916
2806,24,915
2811,20,915
2816,21,915
2821,24,915
2826,22,916
2831,19,917
2836,22,916
2841,21,916
2846,20,916
2851,18,916
2856,20,916
2861,23,915
2866,18,916
2871,20,917
2876,19,917
2881,22,916
2886,21,916
2891,20,916
2896,18,916
2902,17,915
2907,18,916
2912,18,916
2917,19,916
2922,19,916
2927,20,915
2932,18,915
2937,19,915
2942,18,915
2947,20,915
2952,20,916
2957,18,916
2962,20,916
2967,18,915
2972,20,915
2977,22,915
2982,22,916
2987,21,916
2992,24,916
2997,22,917
3002,21,917
3007,22,916
3012,23,916
3017,22,915
3022,21,916
3027,22,916
3032,22,916
3037,21,916
3042,22,915
3047,26,915
3052,24,915
3057,26,914
3062,22,915
3067,23,914
3072,28,915
3077,24,915
3082,27,915
3087,27,915
3092,25,915
3097,26,915
3102,27,915
3107,31,915
3112,28,915
3117,27,915
3122,26,915
3127,28,915
3132,28,915
3137,19,915
3142,19,915
3147,18,915
3152,20,914
3158,20,915
3163,21,915
3168,21,915
3173,13,785
3178,5,580
3183,14,784
3188,9,584
